Subject	Trial	Recording	Frame	Kinect	Sk_color	Hip_Center_X	Hip_Center_Y	Hip_Center_Z	Spine_X	Spine_Y	Spine_Z	Shoulder_Center_X	Shoulder_Center_Y	Shoulder_Center_Z	Head_X	Head_Y	Head_Z	Shoulder_Left_X	Shoulder_Left_Y	Shoulder_Left_Z	Elbow_Left_X	Elbow_Left_Y	Elbow_Left_Z	Wrist_Left_X	Wrist_Left_Y	Wrist_Left_Z	Hand_Left_X	Hand_Left_Y	Hand_Left_Z	Shoulder_Right_X	Shoulder_Right_Y	Shoulder_Right_Z	Elbow_Right_X	Elbow_Right_Y	Elbow_Right_Z	Wrist_Right_X	Wrist_Right_Y	Wrist_Right_Z	Hand_Right_X	Hand_Right_Y	Hand_Right_Z	Hip_Left_X	Hip_Left_Y	Hip_Left_Z	Knee_Left_X	Knee_Left_Y	Knee_Left_Z	Ankle_Left_X	Ankle_Left_Y	Ankle_Left_Z	Foot_Left_X	Foot_Left_Y	Foot_Left_Z	Hip_Right_X	Hip_Right_Y	Hip_Right_Z	Knee_Right_X	Knee_Right_Y	Knee_Right_Z	Ankle_Right_X	Ankle_Right_Y	Ankle_Right_Z	Foot_Right_X	Foot_Right_Y	Foot_Right_Z	
20190807T151230_Example1	Test 1	1	0002953_151444	1	red	0.331615	0.256616	3.355517	0.344115	0.322931	3.388317	0.347512	0.672595	3.377255	0.320963	0.837492	3.387490	0.185092	0.578134	3.448413	0.143145	0.313767	3.511987	0.119515	0.084148	3.538706	0.108033	0.014410	3.570771	0.500144	0.545491	3.347802	0.558561	0.283883	3.282714	0.568570	0.073245	3.167655	0.573397	0.007190	3.125253	0.253872	0.181116	3.374462	0.292282	-0.270888	3.304340	0.293056	-0.604182	3.224478	0.267572	-0.645560	3.141142	0.403181	0.179739	3.324096	0.449681	-0.284162	3.357028	0.471195	-0.574514	3.634383	0.445711	-0.615892	3.551047	
20190807T151230_Example1	Test 1	1	0002954_151445	1	red	0.311621	0.275359	3.276304	0.321229	0.339092	3.309969	0.321138	0.674273	3.297816	0.299397	0.850996	3.259609	0.168610	0.621556	3.358664	0.122639	0.323688	3.405287	0.083481	0.089732	3.384101	0.079004	0.005340	3.389632	0.482863	0.566261	3.274620	0.548148	0.291202	3.210244	0.562283	0.062661	3.139165	0.557089	0.025109	3.114519	0.241166	0.196646	3.302552	0.306765	-0.271935	3.232646	0.290875	-0.613537	3.206235	0.270680	-0.653524	3.124506	0.379668	0.198975	3.240968	0.433842	-0.277481	3.206637	0.449534	-0.576912	3.486400	0.472000	-0.667391	3.494705	
20190807T151230_Example1	Test 1	1	0002955_151445	1	red	0.312571	0.275704	3.249349	0.324100	0.340129	3.286043	0.334414	0.683800	3.273365	0.297500	0.852737	3.257007	0.159850	0.611286	3.304076	0.104742	0.347559	3.336518	0.076040	0.104419	3.319533	0.062921	0.007806	3.294672	0.469550	0.582076	3.226161	0.547433	0.298679	3.193834	0.558306	0.070390	3.119327	0.558502	-0.004971	3.106990	0.235805	0.203521	3.257654	0.294843	-0.268041	3.220775	0.290735	-0.619407	3.201077	0.271595	-0.658432	3.120536	0.380633	0.200782	3.221199	0.415204	-0.254860	3.126042	0.441359	-0.595575	3.364560	0.461776	-0.694831	3.376979	
20190807T151230_Example1	Test 1	1	0002956_151445	1	red	0.304168	0.300599	3.140853	0.309862	0.361627	3.175354	0.308719	0.683324	3.157307	0.275181	0.859964	3.137085	0.136204	0.633027	3.186568	0.082724	0.367481	3.180486	0.036760	0.145630	3.074848	0.023735	0.052719	3.030536	0.461020	0.587771	3.133374	0.547745	0.322144	3.109092	0.567756	0.086870	3.066752	0.581112	0.023628	3.060709	0.230019	0.226549	3.146295	0.275069	-0.267329	3.188042	0.294014	-0.648507	3.181097	0.282107	-0.687377	3.100739	0.375828	0.226098	3.120625	0.390606	-0.242459	2.944438	0.354658	-0.639781	3.095217	0.395021	-0.695496	3.017807	
20190807T151230_Example1	Test 1	1	0002957_151445	1	red	0.292989	0.294394	3.064278	0.298795	0.356233	3.098916	0.299116	0.684029	3.086624	0.261638	0.847947	3.057461	0.121346	0.619511	3.109159	0.070383	0.386030	3.074017	0.013705	0.168282	2.918041	0.007324	0.083106	2.857754	0.445992	0.591100	3.063584	0.543680	0.328043	3.073149	0.580355	0.097230	3.023451	0.607166	0.035118	3.012901	0.219724	0.217883	3.069877	0.261342	-0.270415	3.122653	0.295477	-0.650730	3.178553	0.293754	-0.726837	3.160627	0.360676	0.221530	3.039968	0.376491	-0.248021	2.891524	0.356828	-0.601728	2.810475	0.348822	-0.661382	2.723449	
20190807T151230_Example1	Test 1	1	0002958_151445	1	red	0.286194	0.281877	3.022387	0.291109	0.345936	3.049789	0.284536	0.678038	3.026760	0.258337	0.852073	3.025459	0.113377	0.600889	3.072170	0.065510	0.370383	3.044816	0.012995	0.186604	2.864648	0.010075	0.108964	2.793791	0.438614	0.583416	3.014152	0.541450	0.318057	3.043229	0.589429	0.089575	2.999953	0.607217	0.037817	2.990849	0.214149	0.205369	3.032945	0.262250	-0.279444	3.090646	0.297402	-0.663968	3.175755	0.283329	-0.704891	3.093830	0.359050	0.212540	3.012337	0.372097	-0.259180	2.847361	0.344956	-0.607910	2.723146	0.331171	-0.668308	2.636457	
20190807T151230_Example1	Test 1	1	0002959_151445	1	red	0.280111	0.270844	2.883939	0.285669	0.333232	2.915332	0.275545	0.660713	2.904185	0.248213	0.827585	2.894754	0.104549	0.591691	2.960082	0.057505	0.367645	2.892798	0.005715	0.200116	2.704435	0.004510	0.129183	2.623275	0.428463	0.581037	2.892608	0.531718	0.305557	2.926740	0.585170	0.079172	2.905699	0.612505	0.008963	2.917056	0.208290	0.194702	2.889256	0.240520	-0.286943	2.985849	0.301134	-0.666524	3.171797	0.290382	-0.744759	3.148736	0.353743	0.199708	2.866715	0.344049	-0.261724	2.751484	0.315295	-0.624019	2.603137	0.296039	-0.668870	2.503105	
20190807T151230_Example1	Test 1	1	0002960_151445	1	red	0.269632	0.264070	2.848926	0.275229	0.326259	2.883537	0.275530	0.657010	2.877044	0.247325	0.821541	2.853040	0.101175	0.598392	2.898397	0.055212	0.372369	2.845593	0.005286	0.199026	2.663808	0.001348	0.123830	2.586080	0.430205	0.555141	2.849616	0.529446	0.285176	2.869497	0.583273	0.059231	2.853674	0.603034	0.006892	2.860448	0.194292	0.187206	2.853253	0.230672	-0.279993	2.942480	0.297301	-0.645327	3.154584	0.292402	-0.727231	3.156972	0.341520	0.189983	2.827089	0.333648	-0.249258	2.710837	0.310040	-0.630356	2.586220	0.289442	-0.696221	2.499209	
20190807T151230_Example1	Test 1	1	0002961_151445	1	red	0.268216	0.261663	2.789762	0.273246	0.323101	2.824593	0.276821	0.651008	2.816770	0.247760	0.818183	2.811140	0.107074	0.595383	2.849836	0.052857	0.369996	2.820299	0.003803	0.196775	2.646394	-0.001545	0.113197	2.535621	0.434680	0.567066	2.811118	0.521250	0.292820	2.833090	0.580120	0.068732	2.828961	0.599784	0.001327	2.831191	0.192608	0.186612	2.793284	0.232067	-0.347191	2.921261	0.293570	-0.654071	3.144240	0.285162	-0.735126	3.145126	0.340535	0.187870	2.770999	0.334074	-0.271052	2.661685	0.302072	-0.639521	2.562115	0.283799	-0.713354	2.485310	
20190807T151230_Example1	Test 1	1	0002962_151445	1	red	0.270083	0.266430	2.742066	0.274859	0.326322	2.779500	0.276642	0.651637	2.776440	0.249745	0.821229	2.766236	0.111860	0.614668	2.802947	0.054892	0.371405	2.775686	0.001838	0.191212	2.620197	-0.002668	0.119576	2.540078	0.421016	0.577171	2.764816	0.515652	0.288869	2.775321	0.566649	0.062615	2.756368	0.590045	-0.003474	2.760585	0.197940	0.195181	2.740269	0.221012	-0.322241	2.848196	0.284042	-0.636074	3.088328	0.279420	-0.716543	3.095005	0.339996	0.197222	2.729372	0.330053	-0.269397	2.630668	0.301535	-0.635733	2.556177	0.282662	-0.716497	2.494030	
